,feature,feature_spellcheck
5025,compagnie,compagnie
5026,compagny,company
5027,companhia,-1
5028,companion,companion
5029,company,company
5030,compaor,company
5031,compaore,compare
5032,comparable,comparable
5033,comparative,comparative
5034,comparators,-1
5035,compare,compare
5036,comparison,comparison
5037,comparisons,comparisons
5038,compartments,compartments
5039,compassion,compassion
5040,compassionate,compassionate
5041,compatible,compatible
5042,compatriots,compatriots
5043,compel,compel
5044,compensate,compensate
5045,compensation,compensation
5046,compensations,compensation
5047,compete,compete
5048,competence,competence
5049,competency,competence
5050,competent,competent
5051,competition,competition
5052,competitive,competitive
5053,competitiveness,-1
5054,compilation,compilation
5055,compile,compile
5056,complacency,complacency
5057,complain,complain
5058,complaint,complaint
5059,complaints,complaints
5060,complement,complement
5061,complementary,complementary
5062,completar,complete
5063,complete,complete
5064,completely,completely
5065,completion,completion
5066,completly,completely
5067,complex,complex
5068,complexes,complete
5069,complexity,complexity
5070,compliance,compliance
5071,compliant,complaint
5072,complicate,complicate
5073,complicatedly,complicated
5074,complication,complication
5075,complications,complications
5076,compliment,compliment
5077,comply,comply
5078,component,component
5079,components,components
5080,compose,compose
5081,composite,composite
5082,composition,composition
5083,compost,compose
5084,compostela,-1
5085,compound,compound
5086,compouned,compound
5087,comprehension,comprehension
5088,comprehensive,comprehensive
5089,comprehensively,comprehensive
5090,comprehesion,comprehension
5091,compresseurs,compresses
5092,compression,compression
5093,compressional,compression
5094,compressor,-1
5095,compressors,-1
5096,comprise,comprise
5097,compromise,compromise
5098,comptables,constables
5099,compulsory,compulsory
5100,compute,compute
5101,computer,computer
5102,computerisation,-1
5103,computerize,-1
5104,computers,computers
5105,coms,come
5106,comtex,-1
5107,comunal,communal
5108,comune,commune
5109,comunicate,communicate
5110,comunication,communication
5111,comunidade,-1
5112,comunity,community
5113,con,con
5114,conakry,-1
5115,conan,conan
5116,conbination,combination
5117,concacaf,-1
5118,conce,once
5119,conceal,conceal
5120,concede,concede
5121,conceils,-1
5122,conceive,conceive
5123,concentement,contentment
5124,concentrate,concentrate
5125,concentration,concentration
5126,concentrations,concentration
5127,concepci,concept
5128,concepcion,conception
5129,concept,concept
5130,conception,conception
5131,concern,concern
5132,concernig,concerning
5133,concert,concert
5134,concession,concession
5135,concessionaire,-1
5136,concessional,-1
5137,concessionary,-1
5138,concessioning,-1
5139,concessions,concessions
5140,conchali,conceal
5141,conchetumare,-1
5142,conclave,concave
5143,conclude,conclude
5144,conclus,-1
5145,conclusion,conclusion
5146,conclusions,conclusions
5147,conclusive,conclusive
5148,concoction,-1
5149,concorde,concord
5150,concordo,concord
5151,concrete,concrete
5152,concreteloop,-1
5153,concrned,concerned
5154,concur,concur
5155,condemn,condemn
5156,condemnation,condemnation
5157,condensate,compensate
5158,condensation,condensation
5159,condense,condensed
5160,condenser,condensed
5161,condensers,condensed
5162,condes,codes
5163,condescend,condescend
5164,conditio,condition
5165,condition,condition
5166,conditional,conditional
5167,conditionality,conditionally
5168,conditioner,conditioned
5169,conditioners,conditions
5170,condolence,condolence
5171,condolences,condolence
5172,condom,-1
5173,condoms,condemn
5174,condrieu,-1
5175,conducive,-1
5176,conduct,conduct
5177,conducteur,conducted
5178,conductin,conducting
5179,conduits,conducts
5180,cone,cone
5181,conedison,-1
5182,coner,-1
5183,coney,money
5184,conference,conference
5185,conferences,conferences
5186,confess,confess
5187,confidence,confidence
5188,confident,confident
5189,configuration,configuration
5190,configure,-1
5191,confine,confine
5192,confirm,confirm
5193,confirmation,confirmation
5194,confiscate,confiscate
5195,confiscation,confiscation
5196,confl,-1
5197,conflagration,conflagration
5198,conflagrations,conflagrations
5199,conflict,conflict
5200,confluence,confluence
5201,conform,conform
5202,conforme,conform
5203,confront,confront
5204,confrontation,confrontation
5205,confrontations,confrontation
5206,confuse,confuse
5207,confusion,confusion
5208,cong,cong
5209,congenital,congenital
5210,congest,contest
5211,congestion,congestion
5212,congestionado,-1
5213,congestions,congestion
5214,congo,cong
5215,congoemergency,-1
5216,congolais,-1
5217,congolese,-1
5218,congrats,congress
5219,congratulate,congratulate
5220,congratulation,congratulation
5221,congratulations,congratulations
5222,congratule,congratulate
5223,congredulations,congratulations
5224,congregation,congregation
5225,congregational,congregation
5226,congregations,congregations
5227,congress,congress
5228,congressional,congressional
5229,conhecer,-1
5230,conical,conical
5231,conifer,confer
5232,coniferous,-1
5233,conjugal,conjugal
5234,conjugate,conjugal
5235,conjunction,conjunction
5236,conjunctiva,conjunctiva
5237,conjunctivitis,conjunctivitis
5238,conjure,conjure
5239,connaissances,-1
5240,connect,connect
5241,connecticut,connecticut
5242,connection,connection
5243,connections,connections
5244,connectivity,conductivity
5245,connexion,connexion
5246,connfction,connection
5247,connie,-1
5248,connorstory,-1
5249,connpost,-1
5250,conquest,conquest
5251,conred,-1
5252,conscience,conscience
5253,conscientious,conscientious
5254,conscious,conscious
5255,conscript,conscripts
5256,conscription,conscription
5257,consecutive,consecutive
5258,consegui,-1
5259,conselling,counselling
5260,consensual,consensus
5261,consensus,consensus
5262,consequence,consequence
5263,consequences,consequences
5264,consequent,consequent
5265,consequently,consequently
5266,conserne,conserve
5267,conservancy,-1
5268,conservation,conservation
5269,conservative,conservative
5270,conserve,conserve
5271,consider,consider
5272,considerable,considerable
5273,considerably,considerably
5274,considerate,considerate
5275,consideration,consideration
5276,considerations,considerations
5277,consign,-1
5278,consignee,consigned
5279,consignment,-1
5280,consignments,-1
5281,consignor,consigned
5282,consigo,consist
5283,consist,consist
5284,consistency,consistency
5285,consistent,consistent
5286,consistently,consistently
5287,consitution,constitution
5288,conso,-1
5289,console,console
5290,consolidate,consolidate
5291,consolidation,consolidation
5292,consortium,consortium
5293,conspiracy,conspiracy
5294,constant,constant
5295,constantly,constantly
5296,constantpractice,-1
5297,constation,-1
5298,constituci,constitute
5299,constitucion,constitution
5300,constituencies,-1
5301,constituency,constituency
5302,constituent,constituent
5303,constitute,constitute
5304,constitution,constitution
5305,constitutional,constitutional
5306,constitutionality,constitutionality
5307,constitutionally,constitutionally
5308,constitutions,constitutions
5309,constract,contract
5310,constraction,-1
5311,constrain,constrain
5312,constraint,constraint
5313,constraints,constraint
5314,constru,-1
5315,construct,construct
5316,construction,construction
5317,constructions,construction
5318,constructive,constructive
5319,construstion,construction
5320,constrution,construction
5321,consular,-1
5322,consulare,-1
5323,consulate,-1
5324,consult,consult
5325,consultant,consultant
5326,consultation,consultation
5327,consultations,consultations
5328,consultative,consultation
5329,consumables,constables
5330,consume,consume
5331,consumer,consumer
5332,consumers,consumers
5333,consumption,consumption
5334,cont,-1
5335,contack,contact
5336,contact,contact
5337,contactor,contractor
5338,contagion,contagion
5339,contagious,contagious
5340,contain,contain
5341,container,container
5342,containers,container
5343,containment,continent
5344,contaminant,-1
5345,contaminants,-1
5346,contaminate,contaminated
5347,contamination,contamination
5348,contaminations,contamination
5349,contamined,contained
5350,contemplate,contemplate
5351,contempt,contempt
5352,contend,contend
5353,content,content
5354,contentgirls,-1
5355,contentious,contentions
5356,contest,contest
5357,contestation,-1
5358,context,context
5359,contexts,contents
5360,contextual,conceptual
5361,contibute,contribute
5362,contigency,-1
5363,contigo,condign
5364,contiguous,contiguous
5365,contimue,continue
5366,continent,continent
5367,continental,continental
5368,contingency,contingent
5369,contingent,contingent
5370,contingents,-1
5371,continous,continuous
5372,continouse,-1
5373,continu,continue
5374,continual,continual
5375,continually,continually
5376,continuation,continuation
5377,continue,continue
5378,continuity,continuity
5379,continuous,continuous
5380,continuously,continuously
5381,contiunes,continues
5382,contra,contra
5383,contraceptive,-1
5384,contract,contract
5385,contractille,-1
5386,contraction,contraction
5387,contractions,contractions
5388,contractor,contractor
5389,contractors,contractors
5390,contrary,contrary
5391,contrast,contrast
5392,contravene,-1
5393,contre,contre
5394,contribute,contribute
5395,contribution,contribution
5396,contributions,contributions
5397,contributor,contributory
5398,contributors,contributory
5399,control,control
5400,controller,controller
5401,controllers,controller
5402,controversial,controversial
5403,controversy,controversy
5404,contuine,-1
5405,conty,county
5406,convalesce,-1
5407,convalescent,convalescent
5408,convection,-1
5409,convective,connective
5410,convene,convene
5411,convener,convened
5412,convenience,convenience
5413,convention,convention
5414,conventional,conventional
5415,conventions,conventions
5416,converge,converge
5417,convergence,conference
5418,conversation,conversation
5419,conversational,conversational
5420,conversations,conversations
5421,conversely,conversely
5422,conversion,conversion
5423,convert,convert
5424,converter,converted
5425,convey,convey
5426,conveyances,conveyances
5427,convict,convict
5428,conviction,conviction
5429,convince,convince
5430,convoy,convoy
5431,convoyofhope,-1
5432,cook,cook
5433,cooker,-1
5434,cookers,cookers
5435,cookie,-1
5436,cookies,colonies
5437,cookin,cooking
5438,cookinwhatfoodisleft,-1
5439,cookstoves,-1
5440,cool,cool
5441,coolant,-1
5442,coolclifton,-1
5443,cooler,-1
5444,coolers,cookers
5445,coolest,coolest
5446,coop,-1
5447,cooped,cooped
5448,cooperaci,cooperate
5449,cooperate,cooperate
5450,cooperation,cooperation
5451,cooperative,cooperative
5452,cooperatives,cooperative
5453,coopfoodanddrink,-1
5454,coops,-1
5455,coordinate,coordinate
5456,coordination,-1
5457,coordinator,coordinate
5458,coordinators,-1
5459,coords,cords
5460,cop,cop
5461,copa,copy
5462,copacabana,-1
5463,cope,cope
5464,copenhagen,copenhagen
5465,copier,copier
5466,copiers,copies
5467,copious,copious
5468,coplaint,complaint
5469,copo,copy
5470,copper,copper
5471,copra,-1
5472,copter,copper
5473,copy,copy
5474,coq,-1
5475,cor,cor
5476,cora,-1
5477,corail,coral
5478,coraille,oreille
5479,coral,coral
5480,corals,-1
5481,corbafo,coraco
5482,corcerned,concerned
5483,corcutt,corrupt
5484,cord,cord
5485,cordaid,-1
5486,cordially,cordially
5487,cordless,-1
5488,cordon,cordon
5489,cordoned,-1
5490,core,core
5491,corel,-1
5492,corerelieving,-1
5493,corlette,follette
5494,corm,form
5495,cormorants,-1
5496,corn,corn
5497,cornbread,cornered
5498,cornea,cornea
5499,cornell,cornell
5500,corner,corner
5501,cornerdeli,-1
5502,cornerstone,-1
5503,cornfields,cornfields
5504,cornillon,-1
5505,cornmeal,conceal
5506,cornrow,-1
5507,cornwall,cornwall
5508,corona,corona
5509,coronary,coronary
5510,corosol,cresol
5511,corossol,colossal
5512,corossole,-1
5513,corp,-1
5514,corporate,corporate
5515,corporateamericaa,-1
5516,corporation,corporation
5517,corporations,corporations
5518,corporatization,-1
5519,corps,corps
5520,corpse,corpse
5521,corpses,corpses
5522,corral,coral
5523,correct,correct
5524,correction,correction
5525,corrections,corrections
5526,corrective,corrective
5527,correctly,correctly
5528,correspond,correspond
5529,correspondance,correspondence
5530,correspondant,correspondent
5531,correspondence,correspondence
5532,correspondent,correspondent
5533,correspondents,correspondent
5534,corridor,corridor
5535,corridors,corridors
5536,corrode,comrade
5537,corromptents,-1
5538,corrosol,-1
5539,corrugate,-1
5540,corrupt,corrupt
5541,corruption,corruption
5542,cortlandt,cortlandt
5543,corvers,-1
5544,corvettes,-1
5545,cosatu,-1
5546,cosel,-1
5547,cosmetics,cosmetic
5548,cosquer,conquer
5549,cost,cost
5550,costa,costa
5551,costco,costo
5552,costly,costly
5553,costody,custody
5554,costume,costume
5555,cosy,cosy
5556,cot,cot
5557,cote,come
5558,cotonou,-1
5559,cots,-1
5560,cottages,cottages
5561,cotton,cotton
5562,cottonseed,-1
5563,couch,couch
5564,cough,cough
5565,couinting,counting
5566,coul,could
5567,coulanges,-1
5568,could,could
5569,couldnt,couldn
5570,coumpound,compound
5571,council,council
5572,councillor,councillor
5573,councils,councils
5574,counseil,counsel
5575,counsel,counsel
5576,counsellors,-1
5577,counselors,counselors
5578,count,count
5579,counter,counter
5580,counterd,-1
5581,counterinsurgency,-1
5582,countermeasures,-1
5583,counteroffensive,-1
5584,counterpart,counterpart
5585,counterparts,counterpart
5586,counterrevolution,-1
5587,counterterror,-1
5588,counterterrorism,-1
5589,counti,count
5590,counties,counties
5591,countless,countless
5592,countries,countries
5593,country,country
5594,countrycard,-1
5595,countrymen,countrymen
5596,countryside,countryside
5597,countrysideman,-1
5598,countrysides,countryside
5599,countrywide,countryside
5600,county,county
5601,countyside,countryside
5602,coup,coup
5603,coupe,couple
5604,couple,couple
5605,coupon,coupon
5606,coupons,coupon
5607,cour,-1
5608,courage,courage
5609,cournoyer,-1
5610,couronne,-1
5611,cours,-1
5612,course,course
5613,court,court
5614,courtesy,courtesy
5615,courthouse,courthouse
5616,courtroom,-1
5617,courtstreetbagels,-1
5618,courtyard,courtyard
5619,courtyards,courtyards
5620,couscous,conscious
5621,couse,-1
5622,cousin,cousin
5623,cousine,cousine
5624,cousing,-1
5625,cousins,cousins
5626,cousler,couler
5627,coutinue,continue
5628,coutries,countries
5629,coutts,courts
5630,cover,cover
5631,coverage,coverage
5632,covet,-1
5633,cow,cow
5634,cowardly,cowardly
5635,cower,-1
5636,cowl,-1
5637,coworker,worker
5638,cowpea,-1
5639,cowpeas,cowpens
5640,cowshed,cowshed
5641,cowsheds,cowshed
5642,cox,cox
5643,coxsackie,-1
5644,coya,-1
5645,coys,-1
5646,coyzegwy,-1
5647,coz,-1
5648,cozy,copy
5649,cpa,cap
5650,cpap,cap
5651,cpc,-1
5652,cpi,epi
5653,cpirn,-1
5654,cpj,-1
5655,cpp,pp
5656,cpr,car
5657,cprpg,corps
5658,cps,caps
5659,cpu,cup
5660,cpzkxt,-1
5661,cr,or
5662,craaaaa,-1
5663,crab,crab
5664,crack,crack
5665,crackdown,-1
5666,crackdowns,-1
5667,cracker,cracked
5668,crackers,-1
5669,cradle,cradle
5670,crads,cards
5671,craft,craft
5672,craftsman,craftsman
5673,craggy,craggy
5674,craig,craig
5675,craigowens,-1
5676,craked,-1
5677,cram,-1
5678,cramp,cramp
5679,cranberry,-1
5680,crane,crane
5681,cranford,crawford
5682,crank,crank
5683,crap,-1
5684,crappy,happy
5685,crash,crash
5686,crasis,crisis
5687,crate,crate
5688,crater,crater
5689,crawl,crawl
5690,craze,-1
5691,craziestbabeeva,-1
5692,craziness,-1
5693,crazy,crazy
5694,crazyyy,crazy
5695,crc,cry
5696,crdv,-1
5697,cre,are
5698,creak,creak
5699,cream,cream
5700,create,create
5701,creation,creation
5702,creative,creative
5703,creatively,relatively
5704,creativity,-1
5705,creatures,creatures
5706,crecent,recent
5707,creche,-1
5708,credentials,credentials
5709,credibility,credibility
5710,credible,incredible
5711,credit,credit
5712,creed,creed
5713,creek,creek
5714,creeking,-1
5715,creeks,creeks
5716,creep,creep
5717,creepy,creep
5718,cref,crew
5719,cremate,create
5720,cremation,creation
5721,cremations,relations
5722,crematorium,-1
5723,creme,crime
5724,crenis,-1
5725,creol,cresol
5726,creole,-1
5727,crer,-1
5728,crescent,crescent
5729,crescentmovement,-1
5730,crespin,creeping
5731,crest,crest
5732,crevasses,creases
5733,crew,crew
5734,crewman,-1
5735,crewmen,-1
5736,crhfp,-1
5737,cri,cry
5738,crib,crib
5739,cricket,cricket
5740,crimbled,crumbled
5741,crime,crime
5742,crimea,crimea
5743,crimean,crimean
5744,crimes,crimes
5745,criminal,criminal
5746,criminality,originality
5747,criminalize,-1
5748,criminally,-1
5749,criminals,criminals
5750,crinkle,wrinkle
5751,cripple,cripple
5752,crises,-1
5753,crisis,crisis
5754,crispy,crisp
5755,criss,-1
5756,crisscross,-1
5757,cristina,christian
5758,cristo,-1
5759,cristof,bristol
5760,criteria,criterion
5761,criterion,criterion
5762,critic,critic
5763,critical,critical
5764,critically,-1
5765,criticise,criticise
5766,criticism,criticism
5767,criticize,criticize
5768,critics,critics
5769,crm,-1
5770,croatia,croats
5771,croatian,creation
5772,crochu,crouch
5773,crock,clock
5774,crockery,crockery
5775,crocodile,-1
5776,crocodiles,-1
5777,croijmq,-1
5778,crois,cross
5779,croissants,-1
5780,croix,croix
5781,croked,-1
5782,croks,cross
5783,crook,-1
5784,crop,crop
5785,cropdevouring,-1
5786,cropland,copeland
5787,croplands,-1
5788,crore,core
5789,crores,-1
5790,cross,cross
5791,crossfires,-1
5792,crossroad,crossroads
5793,crossroads,crossroads
5794,croutons,-1
5795,crowbars,-1
5796,crowd,crowd
5797,crowdfunding,-1
5798,crowdmap,-1
5799,crown,crown
5800,crownheights,-1
5801,crozes,-1
5802,crpf,-1
5803,crs,-1
5804,crte,-1
5805,crucial,crucial
5806,crucially,crucial
5807,crude,crude
5808,crudess,crudest
5809,cruel,cruel
5810,cruelty,cruelty
5811,cruise,cruise
5812,cruisers,cruisers
5813,crumble,-1
5814,crumple,crumpled
5815,crush,crush
5816,crust,crust
5817,crustal,crystal
5818,crutches,crutches
5819,crutchfield,-1
5820,cruz,cruz
5821,crwrc,-1
5822,crxirz,-1
5823,cry,cry
5824,cryptococcal,-1
5825,crystal,crystal
5826,crystalloid,-1
5827,cs,-1
5828,csa,-1
5829,csb,cab
5830,csdw,saw
5831,cse,-1
5832,csf,cf
5833,cshool,school
5834,csis,-1
5835,csjfnckzaww,-1
5836,csm,-1
5837,csn,can
5838,csqhk,-1
5839,ct,-1
5840,cta,-1
5841,ctbmw,-1
5842,ctbto,-1
5843,ctc,etc
5844,ctfu,cut
5845,ctg,-1
5846,ctgjh,-1
5847,ctposttrumbull,-1
5848,ctr,car
5849,ctsandy,sandy
5850,cu,-1
5851,cuango,change
5852,cuantos,canton
5853,cuatro,-1
5854,cub,cub
5855,cuba,cuba
5856,cuban,cuban
5857,cube,-1
5858,cubic,cubic
5859,cubicle,-1
5860,cubicles,-1
5861,cucl,curl
5862,cucumbers,cucumbers
5863,cuddalore,-1
5864,cuddapah,-1
5865,cuddle,muddle
5866,cue,-1
5867,cuemba,cuba
5868,cuenamprong,-1
5869,cui,cut
5870,cuidate,climate
5871,cujcijpthis,-1
5872,cul,cut
5873,culd,could
5874,cull,-1
5875,culmination,culmination
5876,culpa,-1
5877,culpable,capable
5878,cult,cult
5879,cultivable,cultivate
5880,cultivatable,-1
5881,cultivate,cultivate
5882,cultivation,cultivation
5883,cultivators,cultivates
5884,cultural,cultural
5885,culturally,cultural
5886,culture,culture
5887,culturelle,-1
5888,culvert,-1
5889,culverts,converts
5890,cum,cum
5891,cumulative,cumulative
5892,cumulus,-1
5893,cunene,eugene
5894,cuntry,country
5895,cuoh,-1
5896,cup,cup
5897,cupboards,cupboards
5898,cupcake,-1
5899,cupcakecrewnyc,-1
5900,cuppa,-1
5901,curanipe,curative
5902,curative,curative
5903,curb,curb
5904,cure,cure
5905,curee,cure
5906,curepto,crept
5907,cureuses,-1
5908,curfew,-1
5909,curico,rico
5910,curious,curious
5911,currency,currency
5912,current,current
5913,currently,currently
5914,currents,currents
5915,curricula,curriculum
5916,curriculum,curriculum
5917,curry,-1
5918,curse,curse
5919,curtail,curtail
5920,curtain,curtain
5921,cusecs,cases
5922,custodial,custodian
5923,custody,custody
5924,custom,custom
5925,customary,customary
5926,customer,customer
5927,customers,customers
5928,customise,customs
5929,customize,-1
5930,customs,customs
5931,cut,cut
5932,cutaneaous,cutaneous
5933,cutaneous,cutaneous
5934,cutlery,cutlery
5935,cutlets,cutlets
5936,cutoff,cuff
5937,cuttack,attack
5938,cutter,utter
5939,cutters,cutters
5940,cuttings,cuttings
5941,cuu,cut
5942,cuvette,cette
5943,cuy,-1
5944,cuz,cut
5945,cv,-1
5946,cve,ve
5947,cvm,-1
5948,cvs,vs
5949,cvyn,-1
5950,cw,-1
5951,cwana,can
5952,cwfsb,cwoss
5953,cwjshx,-1
5954,cws,-1
5955,cyanide,cyanide
5956,cyber,-1
5957,cybercafe,-1
5958,cycle,cycle
5959,cyclical,cyclical
5960,cycline,cycling
5961,cyclo,cycle
5962,cyclon,-1
5963,cyclone,-1
5964,cyclonecyclone,-1
5965,cycloneeeeeee,-1
5966,cyclones,-1
5967,cycloney,-1
5968,cyclonic,clonic
5969,cyclons,cycling
5970,cygarete,cigarette
5971,cylinders,cylinders
5972,cylone,-1
5973,cyper,hyper
5974,cyph,-1
5975,cypriot,chariot
5976,cyprus,cyrus
5977,cyr,cry
5978,cysts,cysts
5979,czech,czech
5980,czepn,clean
5981,czk,-1
5982,da,da
5983,daaamn,damn
5984,daadab,-1
5985,dabanga,-1
5986,dabon,-1
5987,dacaar,bazaar
5988,dad,dad
5989,dada,data
5990,dadaab,-1
5991,dadab,-1
5992,dadadou,-1
5993,daddar,-1
5994,daddy,daddy
5995,dade,made
5996,dads,days
5997,dadu,dad
5998,dady,day
5999,daeazefy,-1
6000,daesh,dash
6001,daf,day
6002,dagahaley,-1
6003,daghestan,-1
6004,dagou,-1
6005,daharki,-1
6006,dahia,-1
6007,dahlan,-1
6008,dahuk,dark
6009,dai,day
6010,daiichi,-1
6011,dail,-1
6012,daily,daily
6013,daini,-1
6014,dairies,-1
6015,dairy,dairy
6016,dakar,makar
6017,dake,-1
6018,dakhan,-1
6019,dakkhana,-1
6020,dakor,-1
6021,dakshinkali,-1
6022,dal,day
6023,dalam,-1
6024,dalat,-1
6025,dali,-1
6026,dalia,-1
6027,dalian,-1
6028,dallas,dallas
6029,dalle,-1
6030,dalles,dallas
6031,dalmatian,-1
6032,dam,dam
6033,damag,damage
6034,damage,damage
6035,damai,-1
6036,damanged,damaged
6037,damazine,-1
6038,damboa,-1
6039,dame,dame
6040,damiani,-1
6041,damien,-1
6042,damiendw,-1
6043,damiens,amiens
6044,damier,damper
6045,damm,-1
6046,dammaged,damaged
6047,dammitsandy,-1
6048,damn,damn
6049,damnsandy,-1
6050,damnyousandy,-1
6051,damocles,-1
6052,damp,damp
6053,dampen,damper
6054,dampness,dampness
6055,dampus,-1
6056,damrey,-1
6057,damxung,damning
6058,dan,dan
6059,danali,-1
6060,danan,-1
6061,danang,-1
6062,danbowens,-1
6063,dance,dance
6064,dancruver,vancouver
6065,dand,and
6066,dandar,danger
6067,dando,dandy
6068,dandong,-1
6069,dane,dane
6070,dange,-1
6071,danger,danger
6072,dangerous,dangerous
6073,dangerouse,dangerous
6074,dangerously,dangerously
6075,dangers,dangers
6076,dangorayo,-1
6077,daniel,daniel
6078,danielsquadron,-1
6079,danish,danish
6080,danjour,bonjour
6081,danpis,-1
6082,dans,dans
6083,dantes,-1
6084,danube,danube
6085,dao,-1
6086,daou,-1
6087,dap,day
6088,daqui,qui
6089,dar,-1
6090,dara,dark
6091,darai,-1
6092,darajani,-1
6093,darbhanga,-1
6094,darbonne,argonne
6095,darboun,carbon
6096,darc,dark
6097,darchula,-1
6098,dare,dare
6099,darfur,darker
6100,dargout,davout
6101,darhhr,darker
6102,dari,dark
6103,darjeeling,-1
6104,dark,dark
6105,darkhwast,-1
6106,darkness,darkness
6107,darknessmade,-1
6108,darkside,-1
6109,darlin,darling
6110,darling,darling
6111,darmalak,-1
6112,darn,-1
6113,darnita,anita
6114,daro,dark
6115,darra,-1
6116,darrendreger,-1
6117,dart,dart
6118,dartmouth,dartmouth
6119,darussalam,-1
6120,darwaz,darwin
6121,darwin,darwin
6122,darya,marya
6123,darye,dare
6124,das,das
6125,dasgaon,-1
6126,dash,dash
6127,dashberlin,-1
6128,dasiegal,-1
6129,dass,-1
6130,dasuki,-1
6131,dat,dat
6132,data,data
6133,database,database
6134,databases,database
6135,datd,-1
6136,date,date
6137,dato,dato
6138,dau,day
6139,daud,dad
6140,daughter,daughter
6141,daughters,daughters
6142,daum,dam
6143,daunt,aunt
6144,dav,day
6145,dave,dave
6146,david,david
6147,davidson,-1
6148,davies,davis
6149,davis,davis
6150,davison,-1
6151,davwbn,dawn
6152,dawa,-1
6153,dawahale,-1
6154,dawn,dawn
6155,day,day
6156,dayaftertomorrow,-1
6157,daycare,-1
6158,daykundi,-1
6159,days,days
6160,daytime,daytime
6161,dbfbuo,-1
6162,dbgj,-1
6163,dbictf,-1
6164,dc,do
6165,dcgamecocks,-1
6166,dcj,-1
6167,dco,do
6168,dcplqvj,-1
6169,dcu,-1
6170,dd,-1
6171,ddon,don
6172,ddp,dip
6173,ddpm,-1
6174,dds,-1
6175,ddt,-1
6176,de,de
6177,dead,dead
6178,deadass,deadness
6179,deadliest,deadliest
6180,deadline,deadline
6181,deadliness,readiness
6182,deadlock,deadlock
6183,deadly,deadly
6184,deads,-1
6185,deadzone,deadline
6186,deaf,deaf
6187,deafen,-1
6188,deah,deah
6189,deal,deal
6190,dealer,dealer
6191,dealeri,-1
6192,dear,dear
6193,deaseses,-1
6194,death,death
6195,deaths,deaths
6196,deathtoll,-1
6197,deathwave,-1
6198,debate,debate
6199,debc,debt
6200,deberge,-1
6201,deberian,iberian
6202,debiera,-1
6203,debilita,debility
6204,debilitate,debilitated
6205,debisi,debts
6206,debit,debit
6207,debrie,debris
6208,debris,debris
6209,debrosse,-1
6210,debt,debt
6211,debtors,debtors
6212,debts,debts
6213,debub,debut
6214,debussy,-1
6215,debut,debut
6216,debwos,debts
6217,dec,dec
6218,decadal,-1
6219,decade,decade
6220,decades,decades
6221,decant,decent
6222,decapitations,-1
6223,decay,decay
6224,decayette,-1
6225,decease,decease
6226,deceive,deceive
6227,december,december
6228,decent,decent
6229,decentralisation,-1
6230,decentralization,centralization
6231,decentralize,-1
6232,decid,decide
6233,decide,decide
6234,decimate,delicate
6235,decins,-1
6236,decision,decision
6237,decisions,decisions
6238,deck,deck
6239,decker,-1
6240,declaration,declaration
6241,declarations,declarations
6242,declare,declare
6243,decline,decline
6244,decode,decide
6245,decombres,-1
6246,decommission,commission
6247,decompose,decomposes
6248,deconcentration,concentration
6249,decongesting,-1
6250,decontaminate,-1
6251,decontamination,contamination
6252,decorate,decorate
6253,decorations,decorations
6254,decrease,decrease
6255,decree,decree
6256,dedaye,-1
6257,dedicate,dedicate
6258,dedication,-1
6259,deductible,deductible
6260,deduction,deduction
6261,dee,-1
6262,deed,deed
6263,deeds,deeds
6264,deem,deem
6265,deep,deep
6266,deepen,deepen
6267,deeper,deeper
6268,deepest,deepest
6269,deeply,deeply
6270,deepwater,-1
6271,deer,deer
6272,default,default
6273,defeat,defeat
6274,defeatism,defeats
6275,defecate,-1
6276,defecation,defection
6277,defection,defection
6278,defectors,-1
6279,defence,defence
6280,defenceless,defenceless
6281,defences,defence
6282,defend,defend
6283,defendants,defendant
6284,defenders,defenders
6285,defense,defense
6286,defenses,defense
6287,defensive,defensive
6288,defer,defer
6289,deference,deference
6290,defiantlydying,-1
6291,deficiencies,deficiencies
6292,deficiency,deficiency
6293,deficient,deficient
6294,deficit,deficit
6295,deficits,deficit
6296,define,define
6297,definite,definite
6298,definitelt,definitely
6299,definitely,definitely
6300,definition,definition
6301,definitions,definitions
6302,defoliation,desolation
6303,deforest,forest
6304,deforestation,-1
6305,deform,reform
6306,deformation,reformation
6307,deformations,-1
6308,defray,defray
6309,defunct,defect
6310,defuse,refuse
6311,defy,defy
6312,deg,-1
6313,degaj,-1
6314,degas,-1
6315,degdonak,-1
6316,degehabur,-1
6317,degenerate,degenerate
6318,degodia,-1
6319,degradation,degradation
6320,degrade,degraded
6321,degree,degree
6322,degrees,degrees
6323,deh,-1
6324,dehe,-1
6325,dehiwela,-1
6326,dehradun,-1
6327,dehumidifiers,-1
6328,dehydrate,dehydrate
6329,dehydration,-1
6330,dei,-1
6331,deixar,dear
6332,dekad,dead
6333,dekawo,-1
6334,dekayet,delayed
6335,dekayete,-1
6336,dekayt,-1
6337,dekomb,-1
6338,del,del
6339,delami,delay
6340,delams,delays
6341,delana,-1
6342,deland,demand
6343,delatalay,-1
6344,delaware,delaware
6345,delay,delay
6346,delco,-1
6347,deleba,-1
6348,delegate,delegate
6349,delegation,delegation
6350,delegations,delegations
6351,delegitimize,-1
6352,delete,delete
6353,delfina,define
6354,delgado,-1
6355,delhi,delhi
6356,deliberate,deliberate
6357,deliberately,deliberately
6358,delicate,delicate
6359,delicious,delicious
6360,delight,delight
