_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,source,type_of_advice_or_caution,type_of_advice_or_caution:confidence,what,when,where,category,source_gold,text_no_rt,tweet,type,type_of_advice_or_caution_gold,user,what_gold,when_gold,where_gold
227175904,false,finalized,3,12/8/2012 19:44:30,"ABC News
ABC News
ABC News",Other,1.0,"Bellevue Hospital Set to Evacuate
Bellevue Hospital Set to Evacuate
Hospital Set to Evacuate","N/A
n/a
n/a","NYC's Bellevue Hospita
NYC
NYC's Bellevue Hospital",Informative (Indirect),,NYC's Bellevue Hospital Set to Evacuate - ABC News: ABC NewsNYC's Bellevue Hospital Set to EvacuateABC NewsNew Y... http://t.co/OqAnDoHf,NYC's Bellevue Hospital Set to Evacuate - ABC News: ABC NewsNYC's Bellevue Hospital Set to EvacuateABC NewsNew Y... http://t.co/OqAnDoHf,Caution and advice,,1sthealthnews,,,
227175905,false,finalized,3,12/8/2012 19:52:56,"http://t.co/aPChWvbb
N/A
n/a",Other,1.0,"Mashable Media Summit Rescheduled
Mashable Media Summit Rescheduled Due to Hurricane Sandy
Mashable Media Summit Rescheduled","past few days
N/A
past few days","Mashable Media Summit
N/A
n/a",Informative (Indirect),,Mashable Media Summit Rescheduled Due to Hurricane Sandy: We have all seen over the past few days that Hurrica... http://t.co/aPChWvbb,Mashable Media Summit Rescheduled Due to Hurricane Sandy: We have all seen over the past few days that Hurrica... http://t.co/aPChWvbb,Caution and advice,,abc_coza,,,
227175906,false,finalized,3,12/8/2012 20:32:02,"NBC4
NBC4
http://t.co/lxWv1Fhz - NBC4",A hurricane warning has been issued or has been lifted,0.7047,"Sandy hitting gas peda
Sandy hitting gas pedal
Sandy hitting gas pedal. Speeding up.","N/A
n/a
scheduled","N/A
n/a
n/a",Informative (Indirect),,NEW INFO: Sandy hitting gas pedal. Speeding up. Earlier collision with shore scheduled. Expect lots of damage. http://t.co/lxWv1Fhz - NBC4,NEW INFO: Sandy hitting gas pedal. Speeding up. Earlier collision with shore scheduled. Expect lots of damage. http://t.co/lxWv1Fhz - NBC4,Caution and advice,,AboveAverageA,,,
227175907,false,finalized,3,12/8/2012 19:00:16,"@70torinoman (@caribnews)
@caribnews
caribnews",A hurricane sighting has been reported,1.0,"Wind gusts over 60 mph
Wind gusts over 60 mph are being reported at Central Park and JFK airport
Wind gusts over 60 mph","this hour
this hour
this hour","Central Park and JFK airport
NYC
Central Park and JFK airport",Informative (Indirect),,Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour - TWC #Sandy -- @70torinoman (@caribnews),Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour - TWC #Sandy -- @70torinoman (@caribnews),Caution and advice,,adri16,,,
227175908,false,finalized,3,12/8/2012 19:14:13,"http://t.co/KQp2f2vX
N/A
n/a",A hurricane warning has been issued or has been lifted,0.7003,"Conditions are dangerous
The time for evacuation is over
time for evacuation is over. Conditions are dangerous","N/A
N/A
n/a","NYC
NYC
NYC",Informative (Indirect),,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,RT @MikeBloomberg: The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Caution and advice,,alj770,,,
227175909,false,finalized,3,12/10/2012 14:44:08,"N/A
n/a
http://t.co/sEQMLFv3",A hurricane sighting has been reported,1.0,"winds water swell
Sandy now 40 miles from New Jersey
winds water swell","now
now
now","40 miles from New Jersey
New Jersey
New Jersey",Informative (Indirect),,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,RT @NBCNewYork: #BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Caution and advice,,annemaccat,,,
227175910,false,finalized,3,12/10/2012 14:27:10,"http://t.co/8fIXrOiY
http://t.co/8fIXrOiY
http://t.co/8fIXrOiY",Other,1.0,"Mayor Michael Bloomberg to hold press conference
Mayor Michael Bloomberg to hold press conference on #Sandy
press conference","momentarily
momentarily
n/A","NYC
NYC
NYC",Informative (Indirect),,NYC Mayor Michael Bloomberg to hold press conference on #Sandy momentarily. Watch Live: http://t.co/8fIXrOiY,RT @thedailybeast: NYC Mayor Michael Bloomberg to hold press conference on #Sandy momentarily. Watch Live: http://t.co/8fIXrOiY,Caution and advice,,asrulsidiq,,,
227175911,false,finalized,3,12/8/2012 20:06:59,"http://t.co/sEQMLFv3
http://t.co/sEQMLFv3
http://t.co/sEQMLFv3",A hurricane sighting has been reported,0.6988,"Sandy now 40 miles from New Jersey
Sandy now 40 miles from New Jersey
Sandy now 40 miles from New Jersey","now
N/A
now","40 miles from New Jersey
New Jersey
40 miles from New Jersey",Informative (Indirect),,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,RT @NBCNewYork: #BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Caution and advice,,attynyc212,,,
227175912,false,finalized,3,12/8/2012 19:37:32,"N/A
#BREAKING
n/a",A hurricane sighting has been reported,0.7108,"winds water swell
Sandy now 40 miles from New Jersey
Sandy now 40 miles from New Jersey","now
now
now","40 miles from New Jersey
New Jersey
40 miles from New Jersey",Informative (Indirect),,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,RT @NBCNewYork: #BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Caution and advice,,beachhomesnj,,,
227175913,false,finalized,3,12/8/2012 20:28:46,"N/A
N/A
n/a",Other,1.0,"All pets are accepted
All pets are accepted on the subway taxi and trains
pets are accepted on the subway taxi and trains","during evacuation
N/A
during evacuation.","subway taxi and trains
NYC
NYC",Informative (Indirect),,NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,RT @ASPCA: NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,Caution and advice,,biasia,,,
227175914,false,finalized,3,12/10/2012 14:30:43,"N/A
n/a
http://t.co/soE3zq3s",A hurricane warning has been issued or has been lifted,0.6485,"Sandy will unleash furious waves on New York City
Sandy will unleash furious waves
Sandy will unleash furious waves","8 P.M
8 P.M
8 P.M","New York City
New York City
New York City",Informative (Indirect),,'SET YOUR WATCHES FOR 8 P.M:' That's when #Sandy will unleash furious waves on New York City http://t.co/soE3zq3s,RT @nydailynews: 'SET YOUR WATCHES FOR 8 P.M:' That's when #Sandy will unleash furious waves on New York City http://t.co/soE3zq3s,Caution and advice,,BiscardiA,,,
227175915,false,finalized,3,12/8/2012 20:14:27,"http://t.co/1QJ8VCRv
BNO NEWS
(BNO NEWS)",Other,1.0,"U.S. stock markets reopen
stock markets to reopen Wednesday
U.S. stock markets to reopen","Wednesday
Wednesday
Wednesday","New York City
NEW YORK CITY
NEW YORK CITY",Informative (Indirect),,WireUpdate U.S. stock markets to reopen Wednesday after Sandy kills 43: NEW YORK CITY (BNO NEWS) -- Major stock ... http://t.co/1QJ8VCRv,WireUpdate U.S. stock markets to reopen Wednesday after Sandy kills 43: NEW YORK CITY (BNO NEWS) -- Major stock ... http://t.co/1QJ8VCRv,Caution and advice,,bnogr,,,
227175916,false,finalized,3,12/10/2012 14:27:10,"@NHC_Atlantic
@NHC_Atlantic http://t.co/S4Otj1kk
http://t.co/S4Otj1kk",A hurricane warning has been issued or has been lifted,1.0,"Hurricane Sandy expected to make landfall
Sandy expected to make landfall
Hurricane Sandy","by early evening
by early evening
early evening","along or just south of southern NJ coast
along or just south of southern NJ coast
south of southern NJ",Informative (Indirect),,Hurricane Sandy expected to make landfall along or just south of southern NJ coast by early evening - @NHC_Atlantic http://t.co/S4Otj1kk,Hurricane Sandy expected to make landfall along or just south of southern NJ coast by early evening - @NHC_Atlantic http://t.co/S4Otj1kk,Caution and advice,,breakingstorm,,,
227175917,false,finalized,3,12/8/2012 20:24:35,"http://t.co/8ro4trG5

http://t.co/8ro4trG5",Other,0.6559,"keep an eye out for storm drains
please prepared to keep an eye out for storm drains
keep an eye out for storm drains","In advance of the arrival of Hurricane Sandy
In advance of the arrival of Hurricane Sandy
the arrival of Hurricane Sandy","N/A
n/a
n/a",Informative (Indirect),,In advance of the arrival of Hurricane Sandy please prepared to keep an eye out for storm drains whose tops are... http://t.co/8ro4trG5,In advance of the arrival of Hurricane Sandy please prepared to keep an eye out for storm drains whose tops are... http://t.co/8ro4trG5,Caution and advice,,BTVDPW,,,
227175918,false,finalized,3,12/10/2012 14:30:43,"http://t.co/84uM94Kh
http://t.co/84uM94Kh
http://t.co/84uM94Kh",Other,0.6869,"sandy update
sandy update here
sandy update","now
now
now","http://t.co/84uM94Kh
NYC
NYC",Informative (Indirect),,Mayor Bloomberg live NYC #sandy update here now: http://t.co/84uM94Kh,RT @rebeccagberg: Mayor Bloomberg live NYC #sandy update here now: http://t.co/84uM94Kh,Caution and advice,,BuzzFeed,,,
227175919,false,finalized,3,12/8/2012 19:56:15,"N/A
N/A
n/a",Other,1.0,"prevent mold
Start cleaning up quickly after hurricane flooding
cleaning up quickly after hurricane flooding","after hurricane flooding
N/A
quickly","N/A
N/A
n/a",Informative (Indirect),,Start cleaning up quickly after hurricane flooding to prevent mold. http://t.co/WGgfSimu,Start cleaning up quickly after hurricane flooding to prevent mold. http://t.co/WGgfSimu,Caution and advice,,CalorieLab,,,
227175920,false,finalized,3,12/10/2012 14:47:51,"@ASPCA
AWWWW RT @ASPCA
@ASPCA",Other,1.0,"All pets are accepted on the subway taxi and trains
pets are accepted on the subway taxi and trains
All pets are accepted during evacuation","during evacuation
during evacuation
n/A","NYC
NYC
subway taxi",Informative (Indirect),,AWWWW RT @ASPCA: NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,AWWWW RT @ASPCA: NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,Caution and advice,,camai_,,,
227175921,false,finalized,3,12/10/2012 14:37:37,"http://t.co/1y3SaPsl
http://t.co/1y3SaPsl
http://t.co/1y3SaPsl",Other,1.0,"Mayor is updating New Yorkers
Mayor is updating New Yorkers on #Sandy
updating New Yorkers","LIVE NOW
LIVE NOW
NOW","New York
New York
New York",Informative (Indirect),,LIVE NOW: the Mayor is updating New Yorkers on #Sandy: http://t.co/1y3SaPsl,RT @NYCMayorsOffice: LIVE NOW: the Mayor is updating New Yorkers on #Sandy: http://t.co/1y3SaPsl,Caution and advice,,CarolHelf,,,
227175922,false,finalized,3,12/10/2012 14:40:54,"N/A
forecasters
n/A",A hurricane warning has been issued or has been lifted,0.6869,"SANDY SET TO SLAM NYC AND TRI-STATE REGION
STORM SANDY SET TO SLAM
SLAM NYC","N/A
n/a
n/A","NYC AND TRI-STATE REGION
NYC AND TRI-STATE REGION
NYC",Informative (Indirect),,MONSTER STORM SANDY SET TO SLAM NYC AND TRI-STATE REGION: AS HURRICANE SANDY PICKS UP SPEED forecasters say it will slam into New Je...,MONSTER STORM SANDY SET TO SLAM NYC AND TRI-STATE REGION: AS HURRICANE SANDY PICKS UP SPEED forecasters say it will slam into New Je...,Caution and advice,,CGaye2,,,
227175923,false,finalized,4,12/8/2012 21:09:31,"n/a
N/A
N/A
http://t.co/sEQMLFv3",A hurricane sighting has been reported,1.0,"#Sandy now 40 miles from New Jersey
Sandy now 40 miles from New Jersey
Sandy
winds water swell","now
now
now
now","40 miles from New Jersey
New Jersey
40 miles from New Jersey
now 40 miles from New Jersey",Informative (Indirect),,#BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,RT @NBCNewYork: #BREAKING: #Sandy now 40 miles from New Jersey as winds water swell #SandyNJ http://t.co/sEQMLFv3,Caution and advice,,Cholosocksgirl,,,
227175924,false,finalized,3,12/10/2012 14:23:06,"n/a
http://t.co/ZS97FeGR
http://t.co/ZS97FeGR",Other,1.0,"NYC Hurricane Sandy 2012 Update
Storm to Shut Down City
Storm","n/a
Tuesday
Tuesday","NYC
NYC
NYC",Informative (Indirect),,NYC Hurricane Sandy 2012 Update: Storm to Shut Down City on Tuesday http://t.co/ZS97FeGR,NYC Hurricane Sandy 2012 Update: Storm to Shut Down City on Tuesday http://t.co/ZS97FeGR,Caution and advice,,ChrisJACooper,,,
227175925,false,finalized,3,12/10/2012 14:47:51,"N/A
http://t.co/oxTN1BKB
http://t.co/oxTN1BKB",A hurricane sighting has been reported,1.0,"Sandy makes landfall
Sandy makes landfall
Sandy makes landfall","N/A
n/a
n/A","New Jerse
New Jerse
New Jersey",Informative (Indirect),,#BREAKING: #Sandy makes landfall in New Jersey. #NJ http://t.co/oxTN1BKB,RT @NBCNewYork: #BREAKING: #Sandy makes landfall in New Jersey. #NJ http://t.co/oxTN1BKB,Caution and advice,,CirocBoyNick,,,
227175926,false,finalized,3,12/10/2012 14:23:06,"http://t.co/KQp2f2vX
http://t.co/KQp2f2vX
http://t.co/KQp2f2vX",A hurricane warning has been issued or has been lifted,0.6869,"Please stay where you are
Conditions are dangerous and will get worse
Conditions are dangerous","N/A
The time for evacuation is over
N/A","NYC
NYC
where you are",Informative (Indirect),,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,RT @MikeBloomberg: The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Caution and advice,,coastalvegan,,,
227175927,false,finalized,3,12/8/2012 19:14:13,"@AsburyParkPress
@AsburyParkPress
AsburyParkPress",Other,0.6355,"Sandy to cause 'record extreme coastal flooding
Sandy to cause 'record extreme coastal flooding
record extreme coastal flooding","N/A
N/A
n/a","N/A
N/A
n/a",Informative (Indirect),,Sandy to cause 'record extreme coastal flooding' http://t.co/KHls8eDj via @AsburyParkPress,Sandy to cause 'record extreme coastal flooding' http://t.co/KHls8eDj via @AsburyParkPress,Caution and advice,,colleen52390759,,,
227175928,false,finalized,3,12/8/2012 19:41:40,"n/a
N/A
n/a",Other,0.6543,"East coast braces for hurricane
East coast braces for hurricane
braces for hurricane","n/a
N/A
n/a","East coast
East coast
East coast",Informative (Indirect),,Sandy: East coast braces for hurricane ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã¢â‚¬â€œlife-threateningÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â» storm surge http://t.co/zD0IJNRA,Sandy: East coast braces for hurricane ÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã¢â‚¬â€œlife-threateningÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â» storm surge http://t.co/zD0IJNRA,Caution and advice,,conquilia,,,
227175929,false,finalized,4,12/8/2012 21:09:31,"N/A
N/A
Mayor Michael Bloomberg
http://t.co/XtzsBslf",Other,1.0,"Mayor Michael Bloomberg updates residents on Hurricane
Mayor Michael Bloomberg updates residents on Hurricane
Hurricane #Sandy
Mayor Michael Bloomberg updates residents on Hurricane","N/A
N/A
N/A
LIVE","http://t.co/XtzsBslf
NYC
NYC
NYC",Informative (Indirect),,LIVE VIDEO: NYC Mayor Michael Bloomberg updates residents on Hurricane #Sandy http://t.co/XtzsBslf,RT @NBCNews: LIVE VIDEO: NYC Mayor Michael Bloomberg updates residents on Hurricane #Sandy http://t.co/XtzsBslf,Caution and advice,,Cubfnatic,,,
227175930,false,finalized,3,12/8/2012 20:24:35,"http://t.co/4Cswv26R
JFK
http://t.co/4Cswv26R",A hurricane sighting has been reported,1.0,"wind gust to 66mph
JFK recorded a wind gust to 66mph at 1:36pm
recorded a wind gust to 66mph","1:36pm
1:36pm
1:36pm","JFK
N/A
JFK",Informative (Indirect),,JFK recorded a wind gust to 66mph at 1:36pm. Just short of hurricane force. Still 8-10hrs from landfall. http://t.co/4Cswv26R #Sandy,RT @WSJweather: JFK recorded a wind gust to 66mph at 1:36pm. Just short of hurricane force. Still 8-10hrs from landfall. http://t.co/4Cswv26R #Sandy,Caution and advice,,DanaGalColeman,,,
227175931,false,finalized,3,12/8/2012 19:49:16,"N/A
N/A
n/a",A shelter is open or available,0.6386,"ALL evacuation shelters are pet friendly
ALL evacuation shelters are pet friendly
evacuation shelters are pet friendly - don't leave your pets behind","N/A
N/A
n/a","NYC
NYC
NYC",Informative (Indirect),,NYC ALERT: ALL evacuation shelters are pet friendly - don't leave your pets behind! http://t.co/Xs6MngZp #SANDY #sandypets,RT @ASPCA: NYC ALERT: ALL evacuation shelters are pet friendly - don't leave your pets behind! http://t.co/Xs6MngZp #SANDY #sandypets,Caution and advice,,Daneeo1985,,,
227175932,false,finalized,3,12/8/2012 20:10:30,"N/A
N/A
http://t.co/SrOGBdL4",Other,1.0,"record-breaking storm
Sandy shaping up as record-breaking storm
Sandy shaping up as record-breaking storm","N/A
N/A
n/a","N/A
N/A
n/a",Informative (Indirect),,Hurricane #Sandy shaping up as record-breaking storm. http://t.co/SrOGBdL4,RT @cnnbrk: Hurricane #Sandy shaping up as record-breaking storm. http://t.co/SrOGBdL4,Caution and advice,,DanTRusu,,,
227175933,false,finalized,3,12/8/2012 20:47:20,"N/A

http://t.co/wl7rGW1H.",Other,1.0,"Mayor Bloomberg will update New Yorkers on #Sandy
Mayor Bloomberg will update New Yorkers on #Sandy
Mayor Bloomberg will update New Yorkers","10 AM
10 AM
10 AM","Will be live on http://t.co/wl7rGW1H.
New Yorkers
New York",Informative (Indirect),,Mayor Bloomberg will update New Yorkers on #Sandy at 10 AM. Will be live on http://t.co/wl7rGW1H.,RT @NYCMayorsOffice: Mayor Bloomberg will update New Yorkers on #Sandy at 10 AM. Will be live on http://t.co/wl7rGW1H.,Caution and advice,,DareIBuild,,,
227175934,false,finalized,3,12/10/2012 14:37:37,"n/a
@BrianLehrer @Gawker
#BPC #NYC",Other,0.6502,"marina lower wall/pier
Ready to crest
Ready to crest North Cove marina lower wall/pier","n/a
5:15pm
5:15pm","NYC
North Cove marina lower wall/pier
orth Cove marina",Informative (Indirect),,5:15pm Ready to crest North Cove marina lower wall/pier. 4+ft to Esplanade #BPC #NYC @AP @BrianLehrer @Gawker #Sandy,5:15pm Ready to crest North Cove marina lower wall/pier. 4+ft to Esplanade #BPC #NYC @AP @BrianLehrer @Gawker #Sandy,Caution and advice,,dingbat,,,
227175935,false,finalized,3,12/8/2012 19:41:40,"N/A
N/A
n/a",A hurricane warning has been issued or has been lifted,0.6974,"Wind gusts over 60 mph
Wind gusts over 60 mph
Wind gusts over 60 mph","this hour
N/A
this hour","Central Park and JFK airport in #NYC
Central Park and JFK airport
Central Park and JFK airport in #NYC",Informative (Indirect),,Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour. #Sandy,RT @twc_hurricane: Wind gusts over 60 mph are being reported at Central Park and JFK airport in #NYC this hour. #Sandy,Caution and advice,,DITZABELLA,,,
227175936,false,finalized,3,12/8/2012 20:40:50,"http://t.co/21Kq3Dkx
N/A
http://t.co/21Kq3Dkx",Other,0.6355,"Sandy Schedule Update
Storm Sandy Schedule Update
Storm Sandy Schedule Update","N/A
N/A
aftermath of this sto...","N/A
N/A
n/a",Informative (Indirect),,Updated Website! Storm Sandy Schedule Update - We've been praying that you are all safe in the aftermath of this sto... http://t.co/21Kq3Dkx,Updated Website! Storm Sandy Schedule Update - We've been praying that you are all safe in the aftermath of this sto... http://t.co/21Kq3Dkx,Caution and advice,,DixHillsChurch,,,
227175937,false,finalized,3,12/8/2012 20:06:59,"http://t.co/3BnewQxJ
N/A
http://t.co/3BnewQxJ",Other,1.0,"Bridges Set to Close
Several Bridges Set to Close
Bridges Set to Close","N/A
N/A
n/a","Bridges
NYC
NYC",Informative (Indirect),,Several Bridges Set to Close Because of #HurricaneSandy #Sandy #NYC http://t.co/3BnewQxJ,Several Bridges Set to Close Because of #HurricaneSandy #Sandy #NYC http://t.co/3BnewQxJ,Caution and advice,,DNAinfo,,,
227175938,false,finalized,3,12/8/2012 20:18:01,"n/a
N/A
Mayor Bloomberg",Other,1.0,"Mayor Bloomberg Updates NYC
Mayor Bloomberg Updates NYC
Updates NYC On #Sandy","LIVESTREAM NOW
NOW
NOW","NYC
NYC
NYC",Informative (Indirect),,Mayor Bloomberg Updates NYC On #Sandy http://t.co/45AjuROW LIVESTREAM NOW,Mayor Bloomberg Updates NYC On #Sandy http://t.co/45AjuROW LIVESTREAM NOW,Caution and advice,,DNDailyPolitics,,,
227175939,false,finalized,3,12/10/2012 14:23:06,"http://t.co/Blm4kUzw
http://t.co/Blm4kUzw
http://t.co/Blm4kUzw",A hurricane sighting has been reported,0.6502,"clouds loom
Menacing clouds loom over #NYC
Menacing clouds","
today
today","NYC
NYC
NYC",Informative (Indirect),,Menacing clouds loom over #NYC today in advance of Hurricane #Sandy. #Frankenstorm http://t.co/Blm4kUzw,Menacing clouds loom over #NYC today in advance of Hurricane #Sandy. #Frankenstorm http://t.co/Blm4kUzw,Caution and advice,,EMaloneG,,,
227175940,false,finalized,3,12/8/2012 19:09:26,"@mikeBloomberg
@mikeBloomberg
mikeBloomberg",Other,1.0,"it will take a day or two to recover
it will take a day or two to recover
to recover","a day or two
N/A
a day or two","NYC
NYC
nyc",Informative (Indirect),,it will take a day or two to recover...[some things] into the weekend--@mikeBloomberg #sandy #nyc,"RT @azipaybarah: ""it will take a day or two to recover...[some things] into the weekend""--@mikeBloomberg #sandy #nyc",Caution and advice,,faiza_n_ali,,,
227175941,false,finalized,3,12/8/2012 20:40:50,"N/A
N/A
http://t.co/AniU2e8q",Other,1.0,"financial markets closed
Storm will keep financial markets closed Tuesday
Storm will keep financial markets closed","Tuesday
Tuesday
Tuesday","NEW YORK
NEW YORK
NEW YORK",Informative (Indirect),,Storm will keep financial markets closed Tuesday: NEW YORKÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â®Major U.S. stock and bond markets will be closed beca... http://t.co/AniU2e8q,Storm will keep financial markets closed Tuesday: NEW YORKÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³ÃƒÆ’Ã‚Â®Major U.S. stock and bond markets will be closed beca... http://t.co/AniU2e8q,Caution and advice,,fanlacrosse,,,
227175942,false,finalized,3,12/10/2012 14:27:10,"N/A
http://t.co/lYJ7xUrB
http://t.co/lYJ7xUrB",Other,1.0,"All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled
All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled
Broadway performances have been cancelled","Monday 10/29 and Tuesday 10/30
Monday 10/29 and Tuesday 10/30
Monday 10/29 and Tuesday 10/30","NYC
NYC
NYC",Informative (Indirect),,UPDATE: All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled. #Sandy More info: http://t.co/lYJ7xUrB,RT @TheBwayLeague: UPDATE: All Broadway performances in NYC Monday 10/29 and Tuesday 10/30 have been cancelled. #Sandy More info: http://t.co/lYJ7xUrB,Caution and advice,,fdilella,,,
227175943,false,finalized,3,12/8/2012 19:29:26,"n/a
N/A
n/a",Other,1.0,"JFK Newark airports reopen
JFK Newark airports reopen on limited operational schedule
limited operational schedule","n/a
N/A
n/a","JFK Newark LaGuardia
NYC
JFK Newark airports",Informative (Indirect),,JFK Newark airports reopen on limited operational schedule after #Sandy http://t.co/lzW7vRB2 &gt; LaGuardia still closed #NYC,JFK Newark airports reopen on limited operational schedule after #Sandy http://t.co/lzW7vRB2 &gt; LaGuardia still closed #NYC,Caution and advice,,Global_Montreal,,,
227175944,false,finalized,3,12/8/2012 20:40:50,"N/A
N/A
n/a",Other,1.0,"satalite images and shots
satalite images and shots coming out
satalite images and shots coming out","N/A
N/A
n/a","NYC
NYC
NYC",Informative (Indirect),,Wow the satalite images and shots coming out of NYC are really scary. #StaySafe #Sandy,Wow the satalite images and shots coming out of NYC are really scary. #StaySafe #Sandy,Caution and advice,,Halled,,,
227175945,false,finalized,3,12/8/2012 19:52:56,"http://t.co/1y3SaPsl
LIVE NOW
n/a",Other,0.6355,"Mayor is updating New Yorkers on #Sandy
Mayor is updating New Yorkers
Mayor is updating New Yorkers on #Sandy","LIVE NOW
N/A
LIVE NOW","N/A
NYC
New York",Informative (Indirect),,LIVE NOW: the Mayor is updating New Yorkers on #Sandy: http://t.co/1y3SaPsl,RT @NYCMayorsOffice: LIVE NOW: the Mayor is updating New Yorkers on #Sandy: http://t.co/1y3SaPsl,Caution and advice,,HealthcareWen,,,
227175946,false,finalized,3,12/8/2012 20:20:52,"Mayor Bloomberg
Mayor Bloomberg
Mayor Bloomberg",A shelter is open or available,1.0,"shelters we opened will remain open
76 shelters we opened will remain open today
76 shelters we opened will remain open today","today
today
today","NYC
NYC
NYC",Informative (Indirect),,Mayor Bloomberg: The 76 shelters we opened will remain open today. #Sandy #NYC,RT @HuffingtonPost: Mayor Bloomberg: The 76 shelters we opened will remain open today. #Sandy #NYC,Caution and advice,,HeiddiZ,,,
227175947,false,finalized,3,12/8/2012 20:06:59,"http://t.co/xuL3kt1a
N/A
http://t.co/xuL3kt1a",A hurricane warning has been issued or has been lifted,0.7122,"state of emergency
9 states along Mid-Atlantic coast declare state of emergency
declare state of emergency","N/A
N/A
n/a","9 states along Mid-Atlantic coast
NYC
9 states along Mid-Atlantic coast",Informative (Indirect),,9 states along Mid-Atlantic coast declare state of emergency-info&updates here + evac zone maps/guides for #NYC http://t.co/xuL3kt1a #Sandy,RT @katiecouric: 9 states along Mid-Atlantic coast declare state of emergency-info&updates here + evac zone maps/guides for #NYC http://t.co/xuL3kt1a #Sandy,Caution and advice,,HotmaMejia,,,
227175948,false,finalized,3,12/10/2012 14:34:14,"N/A
http://t.co/yUClpuNt
http://t.co/yUClpuNt",Other,1.0,"Over 13500 flight cancelled
Over 13500 flight cancelled
13500 flight cancelled","N/A
n/a
n/A","#NYC #NJ
NYC
NYC",Informative (Indirect),,#Sandy #Updates: Over 13500 flight cancelled and counting due to Hurricane Sandy.. #NYC #NJ http://t.co/yUClpuNt,#Sandy #Updates: Over 13500 flight cancelled and counting due to Hurricane Sandy.. #NYC #NJ http://t.co/yUClpuNt,Caution and advice,,JasminGranado,,,
227175949,false,finalized,3,12/8/2012 20:18:01,"N/A
N/A
http://t.co/KQp2f2vX",A hurricane warning has been issued or has been lifted,0.7108,"Conditions are dangerous and will get worse
Please stay where you are
Conditions are dangerous and will get worse","N/A
N/A
The time for evacuation is over","NYC
NYC
NYC",Informative (Indirect),,The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,RT @MikeBloomberg: The time for evacuation is over. Conditions are dangerous and will get worse. Please stay where you are #Sandy #NYC http://t.co/KQp2f2vX,Caution and advice,,jmbelcher,,,
227175950,false,finalized,3,12/8/2012 21:09:31,"http://t.co/Pgxt83by
N/A
http://t.co/Pgxt83by",A shelter is open or available,0.6537,"need of shelter
If in immediate need of shelter
If in immediate need of shelter","
N/A
n/a","n/a
N/A
http://t.co/Pgxt83by",Informative (Indirect),,If in immediate need of shelter please visit http://t.co/Pgxt83by to locate your nearest options. #shelter #Sandy,RT @RedCross: If in immediate need of shelter please visit http://t.co/Pgxt83by to locate your nearest options. #shelter #Sandy,Caution and advice,,jmgreenwell,,,
